,Unnamed: 0,2) Why did the fire go out after spraying water on the lit iron?,Unnamed: 0,", ""20. If the kidney (kidney) has abnormal function, various diseases may occur, and in serious cases, death may occur. What does the kidney do in our body, so if something goes wrong, will the disease appear? Let's use our knowledge of kidney function to explain it in detail. "",q20_Ozoom,q20_Hormone,q20_Hormone,q20_Waste,q20_Reabsorption,q20_Waste.1,q20_Hormone.1,q20_Hormone.1,q20_Waste.1,q20_Waste.1"
1033,1033,I really don't know about this.,,
1034,1034,It's because the temperature goes down,,
1035,1035,lowering the temperature,,
1036,1036,Spray water and the fire goes out.,,
1037,1037,Because the water turns off the fire,,
1038,1038,Bald people have superpowers,,
1039,1039,Blocking oxygen,,
1040,1040,be digested at a lower temperature,,
1041,1041,The water instantly lowered the temperature and shut off the oxygen to extinguish the fire.,,
1042,1042,"Because the oxygen was blocked, and the heat went below the ignition point",,
1043,1043,Temperature is lowered and oxygen is blocked,,
1044,1044,"This is because water prevents oxygen from entering, so there is nothing more to ride.",,
1045,1045,"Fire is caused by combustion with air, and when water is sprayed, it blocks the air, so when water is sprayed, the fire is extinguished.",,
1046,1046,The temperature of the iron plate was cooled by water.,,
1047,1047,I'm sure even a three-year-old knows this.,,
1048,1048,Water lowers the temperature of the material and lowers it below the ignition point,,
1049,1049,This is because the temperature is lower than the ignition point. This is because oxygen is blocked.,,
1050,1050,It is because water takes away the heat of fire.,,
1051,1051,It's because the water lowers the temperature of the fire,,
1052,1052,I don't understand.,,
1053,1053,Water overcomes fire,,
1054,1054,Because it's cold,,
1055,1055,Because water overcomes fire. 😁,,
1056,1056,Because the water cooled the fire,,
1057,1057,I don't know.,,
1058,1058,Fire vs water. water,,
1059,1059,Because water overcomes fire,,
1060,1060,"After spraying water,",,
1061,1061,The fire goes out in the water,,
1062,1062,with water on one's face,,
1063,1063,"If there's water, it's hard to catch fire",,
1064,1064,Because the temperature went down,,
1065,1065,"It was not a starting point, and oxygen could have been blocked.",,
1066,1066,Water blocks oxygen,,
1067,1067,I poured cold water on the hot heat to lower the temperature than the burning point on the iron plate,,
1068,1068,Spray water,,
1069,1069,Lower the ignition point,,
1070,1070,The hydrogen in the water neutralizes the oxygen in the fire and the fire is extinguished,,
1071,1071,This is because the temperature dropped below the ignition point and water blocked oxygen.,,
1072,1072,separation of oxygen and carbon dioxide,,
1073,1073,The temperature went down,,
1074,1074,"The water lowered the temperature, and the spray blocked the oxygen",,
1075,1075,Spraying water lowers the temperature and extinguishes the fire.,,
1076,1076,It blocks oxygen,,
1077,1077,The temperature drops below the ignition point,,
1078,1078,The temperature went down,,
1079,1079,"When water is sprayed, the fire is extinguished because the temperature drops below the ignition point.",,
1080,1080,"Because the temperature went down,",,
1081,1081,oxygen blocking,,
1082,1082,Because oxygen was blocked and the temperature went down,,
1083,1083,The temperature went down,,
1084,1084,It blocks oxygen and reduces temperature,,
1085,1085,Spraying water reduces the temperature,,
1086,1086,It's because oxygen is blocked,,
1087,1087,"Reduce temperature, block oxygen",,
1088,1088,The temperature goes down below the ignition point,,
1089,1089,Because it's not a volatile fire.Or because the temperature has dropped due to water.,,
1090,1090,The fire is weaker than water,,
1091,1091,Water is better than fire.It's strong,,
1092,1092,Spray water on the fire,,
1093,1093,"The three conditions for combustion are de-material, temperature enough to catch fire, and oxygen. All three conditions must be met to ignite. When water was sprayed, the condition of the temperature enough to catch fire disappeared, and the fire was extinguished.",,
1094,1094,This is because water prevented it from meeting the condition of temperature above the ignition point.,,
1095,1095,"Fire vaporizes water, which becomes water vapor and takes away the surrounding heat to fly away. In this way, the ambient temperature drops below the ignition point.",,
1096,1096,"In order to catch fire, oxygen, de-materials, and temperatures above the ignition point are required, because the temperature was lowered by pouring water.",,
1097,1097,It's because they blocked oxygen by spraying water.,,
1098,1098,"Water was sprayed on the heated iron plate, so the movement of the water molecules became faster than at room temperature, and the fire quickly went out.",,
1099,1099,The temperature was lowered immediately in a short time.,,
1100,1100,.,,
1101,1101,Doesn't it turn off when you spray water on the fire? I don't think the water and fire have a good relationship Haha,,
1102,1102,Water reacts with fire and lowers the combustion reaction. That's why the lights are out.,,
1103,1103,"When water is sprayed, the temperature decreases and the temperature above the ignition point is not satisfied, so the fire is extinguished because it does not satisfy the burning condition.",,
1104,1104,"When water is sprayed on the iron plate, the temperature drops below the ignition point and the fire is extinguished.",,
1105,1105,The fire is extinguished because water lowers the temperature of the iron and at the same time blocks oxygen that catches fire easily.,,
1106,1106,This is because the temperature was lowered below the ignition point.,,
1107,1107,"When water is sprayed on the lit iron plate, the water absorbs the heat of the fire on the iron plate, and the heat is not satisfied enough for the iron plate to burn, so the fire is extinguished.",,
1108,1108,"This is because water is placed on the iron plate and blocks oxygen. Without oxygen, no combustion reaction occurs, so if you spray water, the fire will be extinguished.",,
1109,1109,"Fire should have air, but by spraying water, the air is blocked and the fire is extinguished. And fire is supposed to raise the temperature to make fire, but water has the opposite effect of lowering the temperature, so the fire can be extinguished.",,
1110,1110,This is because water lowered the temperature below the ignition point.,,
1111,1111,"When the above was answered, the fabric was heated hot, and all moisture evaporated and burned accordingly. The way to solve the cause of this fabric's fire is to supply moisture. Therefore, when water is sprayed on a lit iron plate, moisture is supplied and the fire is extinguished.",,
1112,1112,The fire was extinguished because the water blocked the movement of oxygen.,,
1113,1113,"Water can play a role in extinguishing fire, so the fire was extinguished after spraying water.",,
1114,1114,"When water is sprayed, the heat of the iron plate moves to the water while the water and the iron plate are thermally balanced, causing the temperature to be below the firing point and temporarily blocking the oxygen supply due to the water, so it does not meet the three elements of combustion. So the lights go out.",,
1115,1115,"As the temperature dropped, the heat was reduced during the combustion conditions and the fire was extinguished.",,
1116,1116,h,,
1117,1117,Don't know,,
1118,1118,Because it fell below the ignition point,,
1119,1119,It's lower than the ignition point of the temperature,,
1120,1120,This is because the temperature has dropped.,,
1121,1121,It's because it's lower than the ignition point of temperature,,
1122,1122,The temperature went down,,
1123,1123,The temperature went down,,
1124,1124,I don't know,,
1125,1125,The nature of water prevents the nature of fire,,
1126,1126,by preventing the nature of fire,,
1127,1127,Water blocks the nature of,,
1128,1128,"Fire is weak in water, so fire extinguisher",,
1129,1129,This is because water lowered the ignition point temperature of the iron plate.,,
1130,1130,The ignition point is off,,
1131,1131,Fire goes out of the water,,
1132,1132,It's because the temperature has gone down,,
1133,1133,Because water is stronger than fire,,
1134,1134,Fire is weak against water,,
1135,1135,"Most of the time, when there's a boom, if you spray water, it turns off",,
1136,1136,Spraying water when a fire breaks out is the same effect as extinguishing the fire.,,
1137,1137,Water sinks because it is heavier than fire,,
1138,1138,The ignition point disappeared,,
1139,1139,"When water is sprayed on a lit iron plate, the water vaporizes into water vapor due to the high temperature of the iron plate. In this case, water vaporizes and serves to absorb the surrounding thermal energy, so that the temperature of the iron plate itself is lowered. Therefore, the fire is extinguished because the condition of thermal energy is not satisfied among the conditions in which the fire is ignited.",,
1140,1140,Because the heat met cold water,,
1141,1141,It's because it's getting cold,,
1142,1142,in contact with the air,,
1143,1143,I don't know.,,
1144,1144,",,",,
1145,1145,Because the hot thing got cold.,,
1146,1146,Because the heat on the iron plate cools down with water,,
1147,1147,Because the hot fire met cold water.,,
1148,1148,"Metal cools quickly, so gold cools",,
1149,1149,The water is low temperature,,
1150,1150,Spraying water turns off as the temperature goes down,,
1151,1151,I don't know,,
1152,1152,with a low fever,,
1153,1153,Because it cooled me down,,
1154,1154,I don't know,,
1155,1155,"Since the temperature went down at the ignition point,",,
1156,1156,The air is blocked and the temperature drops below the ignition point,,
1157,1157,My fever has cooled down,,
1158,1158,"If you spray water on a burning iron, the temperature will drop.",,
1159,1159,at a drop in temperature,,
1160,1160,To lower the ignition point,,
1161,1161,The temperature went down,,
1162,1162,This is because water lowers the heat on the iron.,,
1163,1163,This is because the temperature of the fire was lowered by spraying water.,,
1164,1164,It is because hot water goes out when you pour it in,,
1165,1165,It's because there's no more de-materials,,
1166,1166,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,,
